% time	cellId	IMSI	RNTI	sinrLinear
0.683	4	25	3	4.59017
0.683	1	49	3	0.113479
0.684	3	15	4	7.35353
0.684	1	31	4	0.259893
0.685	2	1	5	13.7819
0.685	4	28	5	30.4157
0.685	1	36	5	4.03816
0.686	2	3	6	14.3567
0.686	4	29	6	0.708954
0.686	1	45	6	0.553177
0.687	2	7	7	6.94399
0.687	3	14	7	5.30722
0.687	4	24	7	4.71854
0.687	1	43	7	0.414406
0.688	2	8	8	26.305
0.688	4	22	8	5.59703
0.688	1	38	8	0.701789
0.689	2	9	9	13.6501
0.689	3	13	9	1.72519
0.689	4	27	9	1.31
0.689	1	42	9	0.234309
0.69	3	12	10	10.7415
0.69	1	46	10	0.648703
0.691	1	41	11	1436.2
0.692	4	21	12	3.07081
0.692	1	33	12	58.6391
0.693	1	40	13	961.895
0.694	1	44	14	2203.36
0.695	1	32	15	4617.75
0.696	1	34	16	690.781
0.697	1	50	17	724.174
0.698	1	35	18	1268.53
0.699	1	48	19	925.074
0.7	1	37	20	46186.2
0.701	1	5	21	2605.91
0.702	1	11	22	1343.96
0.703	1	16	23	1342.25
0.704	1	17	24	16503.1
0.705	1	18	25	1.00863
0.705	4	30	25	0.342701
0.706	1	19	26	18333.5
0.708	2	6	28	5644.68
0.715	2	10	35	5131.37
0.721	2	2	1	23.467
0.721	4	26	1	2.09113
0.721	1	47	1	12.2628
0.722	4	23	2	9.09988
0.722	1	39	2	37.3931
0.723	2	4	3	17.6828
0.723	3	20	3	6.22678
0.723	4	25	3	4.63985
0.723	1	49	3	0.113631
0.724	3	15	4	7.23568
0.724	1	31	4	0.260061
0.725	2	1	5	13.5902
0.725	4	28	5	30.1157
0.725	1	36	5	4.06329
0.726	2	3	6	14.2234
0.726	4	29	6	0.702208
0.726	1	45	6	0.555405
0.727	2	7	7	6.88527
0.727	3	14	7	5.34752
0.727	4	24	7	4.72784
0.727	1	43	7	0.412867
0.728	2	8	8	26.5849
0.728	4	22	8	5.55858
0.728	1	38	8	0.705189
0.729	2	9	9	13.7489
0.729	3	13	9	1.72311
0.729	4	27	9	1.32309
0.729	1	42	9	0.234609
0.73	3	12	10	10.724
0.73	1	46	10	0.649193
0.731	1	41	11	1440.07
0.732	4	21	12	3.081
0.732	1	33	12	57.8675
0.733	1	40	13	960.517
0.734	1	44	14	2205.01
0.735	1	32	15	4596.25
0.736	1	34	16	691.975
0.737	1	50	17	722.959
0.738	1	35	18	1266.36
0.739	1	48	19	924.838
0.74	1	37	20	45729.3
0.741	1	5	21	2602.4
0.742	1	11	22	1347.84
0.743	1	16	23	1344.52
0.744	1	17	24	16551.5
0.745	1	18	25	1.0095
0.745	4	30	25	0.343834
0.746	1	19	26	18184.7
